sample-id	well	species	genotype	treatment	fate
SCTLD.1	A1	Mcav	Mcav-O	HS	C
SCTLD.2	B1	Mcav	Mcav-O	HS	C
SCTLD.3	C1	Mcav	Mcav-O	HS	C
SCTLD.4	D1	Mcav	Mcav-R	HS	C
SCTLD.5	E1	Mcav	Mcav-R	HS	C
SCTLD.6	F1	Mcav	Mcav-R	HS	C
SCTLD.7	G1	Mcav	Mcav-O	CDS	NAI
SCTLD.8	H1	Mcav	Mcav-O	CDS	TL
SCTLD.9	A2	Mcav	Mcav-O	CDS	NAI
SCTLD.10	B2	Mcav	Mcav-R	CDS	TL
SCTLD.11	C2	Mcav	Mcav-R	CDS	TL
SCTLD.13	E2	Mcav	Mcav-O	ADS	NAI
SCTLD.14	F2	Mcav	Mcav-O	ADS	TL
SCTLD.15	G2	Mcav	Mcav-R	ADS	TL
SCTLD.16	H2	Mcav	Mcav-R	ADS	TL
SCTLD.17	A3	Mcav	Mcav-R	ADS	TL
SCTLD.18	B3	Ofav	Ofav-O	HS	C
SCTLD.19	C3	Ofav 	Ofav-O	HS	C
SCTLD.20	D3	Ofav	Ofav-O	HS	C
SCTLD.21	E3	Ofav 	Ofav-R	HS	C
SCTLD.22	F3	Ofav	Ofav-R	HS	C
SCTLD.23	G3	Ofav 	Ofav-R	HS	C
SCTLD.24	H3	Ofav	Ofav-Y	HS	C
SCTLD.25	A4	Ofav	Ofav-Y	HS	C
SCTLD.26	B4	Ofav	Ofav-Y	HS	C
SCTLD.27	C4	Ofav	Ofav-O	CDS	TL
SCTLD.28	D4	Ofav	Ofav-O	CDS	NAI
SCTLD.29	E4	Ofav	Ofav-O	CDS	NAI
SCTLD.30	F4	Ofav	Ofav-R	CDS	NAI
SCTLD.31	G4	Ofav	Ofav-R	CDS	NAI
SCTLD.32	H4	Ofav	Ofav-R	ADS	NAI
SCTLD.33	A5	Ofav 	Ofav-Y	CDS	NAI
SCTLD.34	B5	Ofav	Ofav-Y	CDS	TL
SCTLD.35	C5	Ofav	Ofav-Y	CDS	NAI
SCTLD.36	D5	Ofav	Ofav-O	ADS	TL
SCTLD.37	E5	Ofav	Ofav-O	ADS	TL
SCTLD.38	F5	Ofav 	Ofav-R	ADS	NAI
SCTLD.39	G5	Ofav	Ofav-R	ADS	NAI
SCTLD.40	H5	Ofav	Ofav-R	CDS	TL
SCTLD.41	A6	Ofav	Ofav-Y	ADS	NAI
SCTLD.42	B6	Ofav	Ofav-Y	ADS	NAI
SCTLD.43	C6	Ofav	Ofav-Y	ADS	NAI
