Species,Genotype,Replicate,Genotype_Replicate,Treatment,Photo_Number,Random_Number,Measurement,Result
Mcav,Orange,2,Orange2,DC,1,2,Gastrosep,7.25
Mcav,Orange,2,Orange2,DC,1,2,Exopercent,0.2
Mcav,Orange,2,Orange2,DC,2,6,Exopercent,0.045454545
Mcav,Orange,2,Orange2,DC,2,,Gastrosep,31.667
Mcav,Orange,2,Orange2,DC,3,4,Exopercent,0
Mcav,Orange,2,Orange2,DC,3,,Gastrosep,0
Mcav,Orange,2,Orange2,DC,5,11,Exopercent,0
Mcav,Orange,2,Orange2,DC,5,,Gastrosep,9.89
Mcav,Orange,2,Orange2,DC,6,6,Exopercent,0
Mcav,Orange,2,Orange2,DC,6,,Gastrosep,10.607
Mcav,Orange,2,Orange2,DC,7,3,Exopercent,0
Mcav,Orange,2,Orange2,DC,7,,Gastrosep,0
Mcav,Orange,2,Orange2,DC,8,5,Exopercent,0.375
Mcav,Orange,2,Orange2,DC,8,,Gastrosep,14.18
Mcav,Orange,2,Orange2,DC,9,9,Exopercent,0
Mcav,Orange,2,Orange2,DC,9,,Gastrosep,NA
Mcav,Orange,2,Orange2,DC,10,6,Exopercent,0.2
Mcav,Orange,2,Orange2,DC,10,,Gastrosep,19.962
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.334844939
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.453008382
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.487991136
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.33059875
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.486638287
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.715798677
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.499571512
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.492529074
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.492512338
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.262866367
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.412031834
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.369078324
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.735872545
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.611263909
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.427372751
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.51220241
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.616403281
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.449295607
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.427461337
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.595235202
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.431585292
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.507770156
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.410171715
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.613379611
Mcav,Orange,2,Orange2,DC,,,Zooxarea,0.641831709
Mcav,Red,1,Red1,DC,1,2,Exopercent,0
Mcav,Red,1,Red1,DC,1,,Gastrosep,7.353
Mcav,Red,1,Red1,DC,2,12,Exopercent,0
Mcav,Red,1,Red1,DC,2,,Gastrosep,0
Mcav,Red,1,Red1,DC,3,9,Exopercent,0
Mcav,Red,1,Red1,DC,3,,Gastrosep,0
Mcav,Red,1,Red1,DC,4,1,Exopercent,0
Mcav,Red,1,Red1,DC,4,,Gastrosep,0
Mcav,Red,1,Red1,DC,5,9,Exopercent,0.125
Mcav,Red,1,Red1,DC,5,,Gastrosep,9.22
Mcav,Red,1,Red1,DC,6,5,Exopercent,0
Mcav,Red,1,Red1,DC,6,,Gastrosep,0
Mcav,Red,1,Red1,DC,7,3,Exopercent,0.1
Mcav,Red,1,Red1,DC,7,,Gastrosep,21.073
Mcav,Red,1,Red1,DC,8,11,Exopercent,0
Mcav,Red,1,Red1,DC,8,,Gastrosep,12.26
