	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.1	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
ASV.100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1000	0	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7
ASV.1001	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV.1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.1003	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1004	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV.1005	0	8	83	9	18	56	21	28	13	7	15	65	24	37	10	0	13	0	10	0	7	19	27	0	6	41	0	69	90	24	22	10	0	12	0	0	5	20	20	12	0	37
ASV.1006	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	8
ASV.1007	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
ASV.1008	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1010	26	25	32	10	13	16	8	8	0	0	0	11	23	23	0	0	22	18	0	7	20	8	4	0	9	0	0	0	0	0	6	0	0	0	0	0	0	30	0	14	0	19
ASV.1011	47	65	48	11	25	18	0	0	10	0	0	13	8	23	16	0	14	62	9	0	14	17	56	30	24	0	0	0	0	0	22	0	0	0	9	27	39	25	0	29	23	17
ASV.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV.1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1014	12	13	169	23	33	63	17	14	19	0	6	86	40	66	18	3	8	0	9	17	23	35	41	21	7	45	0	13	84	0	39	0	0	24	13	0	0	13	64	14	0	17
ASV.1015	53	42	129	153	33	60	0	0	0	0	0	114	94	66	56	54	29	63	45	68	64	82	56	79	0	0	0	0	0	0	114	0	0	0	40	48	25	61	0	50	33	141
ASV.1016	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	46	44	0	0	0	65	0	0	0	0	0	0	0	0	0
ASV.1018	27	0	48	218	130	607	30	17	15	0	360	0	56	318	43	0	21	0	0	0	0	9	0	0	0	2202	0	27	389	10	109	112	93	49	163	214	0	33	0	185	340	38
ASV.1019	17	0	0	0	0	13	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0
ASV.102	0	41	0	0	31	0	294	16	41	62	62	55	71	27	72	0	0	94	29	0	29	0	38	0	0	0	0	301	20	0	101	0	0	39	11	0	9	60	31	32	20	385
ASV.1020	63	78	137	115	183	58	61	58	0	25	0	101	41	90	49	62	50	63	96	69	86	104	61	86	0	140	0	96	0	0	75	57	98	0	131	36	0	81	0	0	0	111
ASV.1021	15	0	28	496	189	183	1045	63	317	1515	856	149	950	184	125	14	0	41	65	0	0	0	0	0	0	373	0	4197	1862	1730	0	21	780	85	0	0	0	1185	541	513	18	2959
ASV.1022	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.1023	0	0	65	0	0	31	0	0	0	0	0	0	0	0	29	0	0	20	0	0	0	0	0	27	0	0	0	0	0	0	14	0	0	0	0	13	12	0	0	0	0	0
ASV.1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1025	10	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	11	20	6	0	13	7	0	0	0	0	0	0	0	0	0	9	0	0	14	0	0	0	0
ASV.1026	26	0	9	0	0	0	0	0	0	0	0	0	0	8	16	0	0	29	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	35	36	25	0	0	0	15	0
ASV.1027	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5	20	0	0	0	0	0	31	53	0	0	0
ASV.1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.1029	10	0	0	3	0	17	0	0	0	0	0	0	18	0	5	15	8	11	0	12	5	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	8	0	0
ASV.103	135	88	42	92	62	59	26	51	0	79	0	39	41	61	53	124	64	110	35	109	62	94	81	107	63	59	31	31	100	48	55	0	69	40	43	53	123	132	0	93	111	79
ASV.1030	15	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1031	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.1032	633	396	1452	972	928	779	58	213	27	0	71	1231	811	610	654	515	631	799	246	556	582	676	547	534	328	74	0	125	53	404	718	41	32	37	371	390	402	981	65	453	272	933
ASV.1033	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV.1034	79	116	147	92	106	123	75	121	87	41	139	71	96	105	84	125	177	149	80	109	188	143	109	177	121	79	91	49	50	35	108	82	62	137	93	179	115	169	102	88	81	125
ASV.1035	0	0	0	76	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	32	0	0	41	26	0	0	0	0	0	0	0	0	51	0	19	0	0	0	0	0	0
ASV.1036	0	0	8	0	0	0	0	0	0	0	0	7	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0
ASV.1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	20	0	0	8	0	0	0	20	0	0
ASV.1038	0	0	0	0	0	0	12	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	13	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0
