Sample	Porticoccus_6	Simiduia_1	Marinobacter_2	Vibrio_14	Pleionea_4	und_BD7.8_9	und_Chitinophagales_76	Gilvibacter_3	Kapabacteriales_7	Peredibacter_58	Pseudobacteriovorax_9	und_Oligoflexales_53	Bradymonadales_23	und_Fibrobacterales_11	Pirellula_14	Roseibacillus_15
Sediment013.HS.C	0.033451882	0.007922814	0.12764534	6.763442375	0.093313145	0.064262826	0.193668791	0.048417198	0.038733758	0.233282862	0.042255009	0.157575971	0.03609282	0.01320469	0.115320962	0.457762597
Sediment014.HS.C	0.050222414	0	0.139187832	0.093270197	0.053092266	0.157841871	0.31281389	0	0.044482709	0.11766394	0.043047783	0.137752906	0.020088965	0.045917635	0.146362462	0.457741426
Sediment015.HS.C	0.032595614	0.01002942	0.094443702	0.086085852	0.056833378	0.108652046	0.450488098	0.082742712	0.045968173	0.13288981	0.023401979	0.234855576	0.035102969	0.00501471	0.233184006	0.205603102
Sediment010.HS.C	0.035213667	0	0.118136175	0.260126769	0.038621442	0.089738056	0.219233478	0.090873981	0.037485517	0.177204262	0.015902947	0.354408524	0.04770884	0	0.14085467	0.247631597
Sediment011.HS.C	0.068521863	0.019347349	0.122533213	0.459499549	0.065297304	0.048368374	0.377273314	0.050786792	0.065297304	0.216851541	0.020959629	0.268444473	0.005642977	0.016928931	0.11044112	0.124145492
Sediment012.HS.C	0.033893053	0	0.121046617	1.01775996	0.04938702	0.077469835	0.541320473	0.076501462	0.017430713	0.090058683	0.014525594	0.683671295	0.012588848	0	0.140414076	0.140414076
Sediment057.HS.C	0.152494372	0.011618619	0.1699223	0.419722605	0.092948951	0.09875826	0.45022148	0.133614117	0.062450076	0.143780408	0.037760511	0.268680561	0.029046547	0.010166291	0.14813739	0.233824704
Sediment004.HS.C	0.056121423	0	0.109729947	0.503417543	0.072036454	0.143235274	0.518494941	0.058634323	0.050257991	0.173390069	0.025128996	0.142397641	0.047745091	0.005863432	0.133183676	0.397038129
Sediment005.HS.C	0.572066016	0.047195446	0.414747862	0.154457824	1.38726009	0.400446211	0.36040159	0.088670233	0.064357427	0.238837562	0.100111553	0.224535911	0.042904951	0.021452476	0.248848717	0.122994194
Sediment006.HS.C	0.142891165	0	0.169953885	0.22949187	0.049795406	0.175366429	0.549914482	0.130983568	0.010825088	0.2208318	0.0368053	0.264132153	0.019485159	0.007577562	0.109333391	0.221914309
Sediment001.HS.C	0.048710901	0.0139174	0.112498985	0.659916728	0.175127286	0.128735952	0.345615439	0.168168586	0.074226135	0.156570753	0.062628301	0.088143535	0.030154367	0.009278267	0.135694652	0.533500342
Sediment002.HS.C	0.116439685	0.007990959	0.122147513	0.509138232	0.026256007	0.077626457	0.279683558	0.090183678	0.022831311	0.121005948	0.015981918	0.132421603	0.02054818	0.009132524	0.142695693	0.280825124
Sediment003.HS.C	0.047578719	0.012370467	0.077077525	0.156058198	0.06946493	0.088496417	0.210297938	0.052336591	0.03045038	0.119898372	0.032353529	0.172234963	0.032353529	0	0.093254289	0.218862107
Sediment007.HS.C	0.096868979	0	0.115166453	0.087182081	0.038747592	0.122700707	0.647945839	0.076418861	0.066731964	0.119471741	0.086105759	0.160371977	0.038747592	0.007534254	0.134540249	0.29168326
Sediment008.HS.C	0.088054423	0	0.232918152	0.116459076	0.173268381	0.146283961	0.295408388	0.032665351	0.029824885	0.18889094	0.089474656	0.153385124	0.044027212	0.025564187	0.181789777	0.061070003
Sediment045.BDS.NAI	0.984534897	0.281706336	0.707140393	0.352132919	3.811659193	0.300390939	0.797688858	0.304702771	0.139415891	0.866678165	0.31045188	0.218466138	0.093423019	0.022996436	0.702828562	0.100609406
Sediment034.BDS.NAI	1.073227966	0.120781282	0.557319346	0.210504521	2.48636897	0.546966664	0.683276969	0.265718821	0.146662986	0.509006833	0.505555939	0.251915246	0.053488854	0	0.172544689	0.553868452
Sediment035.BDS.NAI	0.29322462	0.191068946	0.283765761	0.296062277	1.143576016	0.290386962	1.093444065	0.507940712	0.086075614	0.413352125	0.111614533	0.153233511	0.109722761	0	0.479564136	1.315727244
Sediment036.BDS.NAI	0.407530565	0.101257594	0.351276346	0.147511063	1.300097507	0.23626772	0.92506938	0.188764157	0.135010126	0.240018001	0.100007501	0.642548191	0.048753657	0.005000375	0.553791534	0.368777658
Sediment031.BDS.NAI	0.265792401	0.055031907	0.371172648	0.701364089	0.688484281	0.262279726	0.318482524	0.247058135	0.038639424	0.517534102	0.055031907	0.058544582	0.039810316	0.0140507	0.162753937	0.96013114
Sediment033.BDS.NAI	0.593819484	0.352829963	0.726962866	0.459344668	4.582795212	0.178412132	0.575179411	0.186400735	0.113171875	1.079792829	0.248978125	0.330195588	0.05592022	0.02796011	0.347504227	0.231669485
Sediment038.BDS.NAI	0.922437941	0.09659036	0.385154062	0.103834637	1.829179948	0.513136289	0.853617309	0.245098039	0.084516565	0.591615957	0.136433884	0.208876654	0.12194533	0.007244277	0.210084034	0.29097846
Sediment047.BDS.NAI	0.951229504	0.184850271	0.684445599	0.383689212	3.070512885	0.271779858	0.659465833	0.383689212	0.085930396	0.774372758	0.372698115	0.281771765	0.087928778	0.016986241	0.397677881	0.402673834
Sediment051.IDS.NAI	0.604691342	0.026579839	0.069297438	0.619879821	0.131000636	0.074043838	0.34269007	0	0.093029437	0.174667515	0.085435197	0.191754554	0.060753918	0.01139136	0.161377595	0.351233589
Sediment054.IDS.NAI	0.470776337	0	0.149893409	0.066619293	0.075501865	0.058847042	0.252042992	0.048854148	0.01443418	0.304228104	0	0.061067685	0.066619293	0	0.151003731	0.147672766
Sediment046.IDS.NAI	0.263194212	0	0.104489088	0.206020937	0.089702896	0.101531849	0.257279735	0.043372829	0.05323029	0.167576839	0.049287306	0.122232518	0.040415591	0.018729176	0.122232518	0.533288646
Sediment048.IDS.NAI	0.379518072	0	0.069277108	1.177710843	0.09186747	0.27560241	0.271084337	0.03313253	0.013554217	0.210843373	0	0.555722892	0.051204819	0.010542169	0.177710843	0.957831325
Sediment052.IDS.NAI	0.20379245	0.009552771	0.098711968	0.12896241	0.127370281	0.237227149	0.409177029	0.07483004	0.014329157	0.30091229	0.079606426	0.675062491	0.027066185	0	0.12896241	0.413953414
Sediment053.IDS.NAI	0.317176471	0	0.047058824	0.354823529	0.050823529	0.167529412	0.639058824	0.177882353	0.029176471	0.189176471	0.176	0.154352941	0.060235294	0.036705882	0.155294118	0.732235294
Sediment043.BDS.TL	0.478128287	0.132813413	0.538691204	0.360189976	1.824325042	0.525941116	0.824505668	0.486628346	0.153001052	0.398440239	0.217813997	0.270939363	0.06693796	0.012750088	0.579066481	0.300689567
Sediment044.BDS.TL	0.504323373	0.359509316	0.847835788	0.22648245	4.065738846	0.292153941	0.6146178	0.532107466	0.074932855	0.64155995	0.108610543	0.189436993	0.057252069	0.023574381	0.404132252	0.324989686
Sediment040.BDS.TL	0.355085957	0.257653834	0.324773741	3.789026978	1.44199541	0.220846144	0.640886849	0.212185511	0.047633482	0.400554281	0.097432122	0.103927597	0.071450223	0	0.186203611	0.138570129
Sediment041.BDS.TL	0.662520477	0.111628177	0.433465258	0.388524044	2.061496977	0.932167761	0.827788167	0.375476594	0.121776193	0.350831412	0.33488453	0.697313675	0.049290364	0.024645182	0.16961684	0.379825744
Sediment009.BDS.TL	0.916865153	0.107613281	0.48641203	0.721726404	2.119981634	0.166441874	0.802077654	0.234596952	0.138462421	0.54021867	0.038740781	1.673745229	0.092547422	0.020805234	0.729618045	0.605504061
Sediment037.BDS.TL	0.708104861	0.118869589	0.570062758	0.614798625	2.690542838	0.12909493	0.508710712	0.239017345	0.152101947	0.641640145	0.146989276	0.409013638	0.024285185	0.015338011	0.599460613	0.476756522
Sediment058.IDS.TL	0.413470757	0	0.089884947	0.456915149	0.052432886	0.260666347	0.975251678	0.06741371	0.022471237	0.175275647	0	0.265160594	0.017976989	0	0.196248802	0.349053212
Sediment060.IDS.TL	0.236223168	0	0.099282201	4.499651942	0.083305755	0.118682171	0.536352121	0.047929338	0.046788164	0.106129249	0.013694097	0.657316642	0.08216458	0.013694097	0.217964373	0.209976149
Sediment055.IDS.TL	1.560007091	0	0.076818531	4.319565089	0.128523311	0.152159783	0.44909295	0.146250665	0.050227501	0.243751108	0.025113751	0.143296106	0.035454707	0.007386397	0.090114046	0.369319861
Sediment056.IDS.TL	2.779821085	0.009491493	0.090169186	0.168474005	0.104406426	0.211185725	0.704743374	0.162541822	0.03915241	0.196948485	0.03203379	0.157796075	0.04271172	0.002372873	0.180338372	0.537455805
Sediment032.IDS.TL	0.045660611	0.016307361	0.085613646	0.386484459	0.06278334	0.08805975	0.362838785	0.068490917	0.030168618	0.094582695	0.040768403	0.181827077	0.08805975	0	0.115782264	0.239718209
Sediment039.IDS.TL	3.768694995	0.009448734	0.094487339	0.213271422	0.047243669	0.017547649	0.915177366	0.071540414	0.179525944	0.213271422	1.307974731	0.741050699	0.159278657	0.372550078	0.052642946	0.226769613
Sediment049.IDS.TL	3.105590062	0	0.107519656	0.113279638	0.053759828	0.130559582	0.249599201	0.031679899	0.052799831	0.35327887	0.597118089	2.040953469	0.047039849	1.702074553	0.091199708	0.399358722
