	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV.10	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	uncultured	NA
ASV.100	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.1000	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1001	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus	uncultured_bacterium
ASV.1002	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Paramaledivibacter	uncultured_bacterium
ASV.1003	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae	uncultured_bacterium
ASV.1004	Bacteria	Proteobacteria	Gammaproteobacteria	eub62A3	eub62A3	eub62A3	NA
ASV.1005	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_delta
ASV.1006	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_planctomycete
ASV.1007	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.1008	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	uncultured_bacterium
ASV.1009	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV.101	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured	uncultured_Bacteroidetes
ASV.1010	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.1012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_bacterium
ASV.1013	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_organism
ASV.1014	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	uncultured_Bacteroidetes
ASV.1015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.1016	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	uncultured_bacterium
ASV.1017	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA
ASV.1018	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_proteobacterium
ASV.1019	Bacteria	WS2	WS2	WS2	WS2	WS2	uncultured_Firmicutes
ASV.102	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hellea	uncultured_Alphaproteobacteria
ASV.1020	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA
ASV.1021	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	uncultured_organism
ASV.1022	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia	Geothermobacteraceae	Geothermobacter	uncultured_bacterium
ASV.1023	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	uncultured_organism
ASV.1024	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV.1025	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Marinicaulis	uncultured_bacterium
ASV.1026	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	NA
ASV.1027	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA	NA
ASV.1028	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA
ASV.1029	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.103	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade	OM182_clade	uncultured_gamma
