sampleID,species,colony,replicate,treatment,species_treatment,lesion,days,status
Sediment_001,Of,Of_red,1,hs,Of_hs,,28.03125,0
Sediment_002,Of,Of_red,2,hs,Of_hs,,28.04166667,0
Sediment_003,Of,Of_red,3,hs,Of_hs,,28.04861111,0
Sediment_004,Of,Of_orange,1,hs,Of_hs,,19.10416667,0
Sediment_005,Of,Of_orange,2,hs,Of_hs,,28.05208333,0
Sediment_006,Of,Of_orange,3,hs,Of_hs,,28.05902778,0
Sediment_007,Of,Of_yellow,1,hs,Of_hs,,28.06597222,0
Sediment_008,Of,Of_yellow,2,hs,Of_hs,,20.06597222,0
Sediment_009,Of,Of_yellow,3,hs,Of_hs,,28.07291667,0
Sediment_016,Of,Of_red,1,dc,Of_dc,2,2,1
Sediment_017,Of,Of_red,2,dc,Of_dc,9.013888889,9.013888889,1
Sediment_018,Of,Of_red,3,dc,Of_dc,1.006944444,1.006944444,1
Sediment_019,Of,Of_orange,1,dc,Of_dc,4.013888889,4.013888889,1
Sediment_020,Of,Of_orange,2,dc,Of_dc,7.010416667,7.010416667,1
Sediment_021,Of,Of_orange,3,dc,Of_dc,11.00347222,11.00347222,1
Sediment_022,Of,Of_yellow,1,dc,Of_dc,,24.04861111,0
Sediment_023,Of,Of_yellow,2,dc,Of_dc,11.00347222,11.00347222,1
Sediment_024,Of,Of_yellow,3,dc,Of_dc,8.003472222,8.003472222,1
Sediment_031,Of,Of_red,1,bds,Of_bds,,27.92708333,0
Sediment_032,Of,Of_red,2,bds,Of_bds,,27.9375,0
Sediment_033,Of,Of_red,3,bds,Of_bds,15.90625,15.90625,1
Sediment_034,Of,Of_orange,1,bds,Of_bds,6.927083333,6.927083333,1
Sediment_035,Of,Of_orange,2,bds,Of_bds,,27.94791667,0
Sediment_036,Of,Of_orange,3,bds,Of_bds,,27.95486111,0
Sediment_037,Of,Of_yellow,1,bds,Of_bds,,27.96180556,0
Sediment_038,Of,Of_yellow,2,bds,Of_bds,7.920138889,7.920138889,1
Sediment_039,Of,Of_yellow,3,bds,Of_bds,,27.96875,0
Sediment_046,Of,Of_red,1,ids,Of_ids,,11.00694444,0
Sediment_047,Of,Of_red,2,ids,Of_ids,,11.00347222,0
Sediment_048,Of,Of_red,3,ids,Of_ids,,24.00694444,0
Sediment_049,Of,Of_orange,1,ids,Of_ids,0.916666667,0.916666667,1
Sediment_050,Of,Of_orange,2,ids,Of_ids,0.934027778,0.934027778,1
Sediment_051,Of,Of_orange,3,ids,Of_ids,0.934027778,0.934027778,1
Sediment_052,Of,Of_yellow,1,ids,Of_ids,,4.020833333,0
Sediment_053,Of,Of_yellow,2,ids,Of_ids,,9.038194444,0
Sediment_054,Of,Of_yellow,3,ids,Of_ids,,6.045138889,0
Sediment_010,Mc,Mc_red,1,hs,Mc_hs,,28.07986111,0
Sediment_011,Mc,Mc_red,2,hs,Mc_hs,,28.08680556,0
Sediment_012,Mc,Mc_red,3,hs,Mc_hs,,28.09375,0
Sediment_013,Mc,Mc_orange,1,hs,Mc_hs,,28.10069444,0
Sediment_014,Mc,Mc_orange,2,hs,Mc_hs,,28.10416667,0
Sediment_015,Mc,Mc_orange,3,hs,Mc_hs,,28.11111111,0
Sediment_025,Mc,Mc_red,1,dc,Mc_dc,12.01736111,12.01736111,1
Sediment_026,Mc,Mc_red,2,dc,Mc_dc,8.003472222,8.003472222,1
Sediment_027,Mc,Mc_red,3,dc,Mc_dc,14.95486111,14.95486111,1
Sediment_028,Mc,Mc_orange,1,dc,Mc_dc,17.00347222,17.00347222,1
Sediment_029,Mc,Mc_orange,2,dc,Mc_dc,15.98958333,15.98958333,1
Sediment_030,Mc,Mc_orange,3,dc,Mc_dc,14.00347222,14.00347222,1
Sediment_040,Mc,Mc_red,1,bds,Mc_bds,6.927083333,6.927083333,1
Sediment_041,Mc,Mc_red,2,bds,Mc_bds,14.87152778,14.87152778,1
Sediment_042,Mc,Mc_red,3,bds,Mc_bds,,27.98958333,0
Sediment_043,Mc,Mc_orange,1,bds,Mc_bds,11.93402778,11.93402778,1
Sediment_044,Mc,Mc_orange,2,bds,Mc_bds,14.87152778,14.87152778,1
Sediment_045,Mc,Mc_orange,3,bds,Mc_bds,,28.00694444,0
Sediment_055,Mc,Mc_red,1,ids,Mc_ids,0.909722222,0.909722222,1
Sediment_056,Mc,Mc_red,2,ids,Mc_ids,0.90625,0.90625,1
Sediment_057,Mc,Mc_red,3,ids,Mc_ids,0.90625,0.90625,1
Sediment_058,Mc,Mc_orange,1,ids,Mc_ids,,6.052083333,0
Sediment_059,Mc,Mc_orange,2,ids,Mc_ids,0.899305556,0.899305556,1
Sediment_060,Mc,Mc_orange,3,ids,Mc_ids,0.895833333,0.895833333,1
